state,year,month,registered_users,app_opens,source_path
Andaman & Nicobar Islands,2018,1,6740,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,2,9405,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,3,12149,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,4,15222,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2019,1,18596,0,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,2,21731,52640,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,3,23931,171107,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,4,25960,177012,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2020,1,28368,193586,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,2,32710,305072,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,3,41335,515565,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,4,52396,887208,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2021,1,57758,1004336,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,2,62095,2248223,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,3,66982,3121625,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2021\3.json
Andaman & Nicobar Islands,2021,4,71780,2112910,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2021\4.json
Andaman & Nicobar Islands,2022,1,76288,3847407,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2022\1.json
Andaman & Nicobar Islands,2022,2,80530,5180013,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2022\2.json
Andaman & Nicobar Islands,2022,3,84642,6068354,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2022\3.json
Andaman & Nicobar Islands,2022,4,88442,4354093,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2022\4.json
Andaman & Nicobar Islands,2023,1,92484,11012664,C:\Phonepe_data\pulse\data\aggregated\user\country\india\state\andaman-&-nicobar-islands\2023\1.json
