state,year,month,district,type,count,amount,source_path
Andaman & Nicobar Islands,2018,1,north and middle andaman district,TOTAL,442,931663.0770939873,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,south andaman district,TOTAL,5688,12560249.34366581,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,nicobars district,TOTAL,528,1139848.801225994,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,2,north and middle andaman district,TOTAL,825,1317863.0834906558,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,south andaman district,TOTAL,9395,23948235.51634325,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,nicobars district,TOTAL,1120,3072436.9081196385,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,3,north and middle andaman district,TOTAL,1283,4901529.518499676,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,south andaman district,TOTAL,13511,44268112.46425246,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,nicobars district,TOTAL,1471,6387829.151558982,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,4,north and middle andaman district,TOTAL,2137,7955635.917688001,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,south andaman district,TOTAL,20136,75411840.8018554,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,nicobars district,TOTAL,1485,7180859.354911782,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2019,1,north and middle andaman district,TOTAL,3264,9561708.736298349,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,south andaman district,TOTAL,25683,85501972.38780196,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,nicobars district,TOTAL,1539,7236059.549389593,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,2,north and middle andaman district,TOTAL,3371,8612103.137888122,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,south andaman district,TOTAL,28490,102530955.71341258,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,nicobars district,TOTAL,1828,9111650.82436246,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,3,north and middle andaman district,TOTAL,4049,11481466.283356793,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,south andaman district,TOTAL,27421,91023888.32848613,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,nicobars district,TOTAL,2300,11566421.475451011,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,4,north and middle andaman district,TOTAL,4716,13524056.784573946,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,south andaman district,TOTAL,27843,110930312.20611623,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,nicobars district,TOTAL,2600,12384161.52668771,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2020,1,north and middle andaman district,TOTAL,5674,14697371.617857102,C:\Phonepe_data\pulse\data\map\transaction\hover\country\india\state\andaman-&-nicobar-islands\2020\1.json
