state,year,month,level,name,registeredUsers,source_file
Andaman & Nicobar Islands,2018,1,district,south andaman,5846,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,district,north and middle andaman,632,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,district,nicobars,262,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744103,1608,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744101,1108,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744105,1075,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744102,1006,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744104,272,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744202,237,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744112,215,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744301,207,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744107,196,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,1,pincode,744211,156,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\1.json
Andaman & Nicobar Islands,2018,2,district,south andaman,8143,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,district,north and middle andaman,911,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,district,nicobars,351,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
